minute,second,time,stage,team,home,player_name,jersey_number,sx,sy,recipient,jersey_number_receiver,ex,ey,dx,dy,length,angle,direction,is_progressive,height,is_cross,is_through,zone_origin,zone_dest,is_complete,passer_pressure,passer_pressure_dist,receiver_pressure,receiver_pressure_dist,bypassed_opponents,risk_measure
3,18,03:18,Final,Italy,Italy,Ciro Immobile,17,60.0,40.0,Jorge Luiz Frello Filho,8,43.1,45.2,-16.9,5.200000000000003,17.681911661356075,2.843093722003614,backward,False,Ground Pass,False,False,middle,middle,True,0,,0,,0,0.2486840781076049
3,20,03:20,Final,Italy,Italy,Jorge Luiz Frello Filho,8,43.0,49.9,Giovanni Di Lorenzo,2,52.9,75.2,9.899999999999999,25.300000000000004,27.167995877502637,1.1978086049948358,forward,False,Ground Pass,False,False,middle,middle,True,0,,0,,0,0.2758323226050088
3,25,03:25,Final,Italy,Italy,Giovanni Di Lorenzo,2,62.5,77.1,Federico Chiesa,14,83.2,69.1,20.700000000000003,-8.0,22.19211571707394,-0.36879143188970415,forward,True,Ground Pass,False,False,middle,attacking,True,1,1.1259209632146978,0,8.352241156540895,1,0.32739162959057366
3,26,03:26,Final,Italy,Italy,Federico Chiesa,14,83.1,69.0,Ciro Immobile,17,81.5,59.3,-1.5999999999999943,-9.700000000000003,9.831073186585483,-1.73427276496559,backward,False,Ground Pass,False,False,attacking,attacking,True,1,2.0500469788676257,0,4.469573183113648,1,0.2947531547258685
3,27,03:27,Final,Italy,Italy,Ciro Immobile,17,80.0,59.1,Lorenzo Insigne,10,84.1,28.1,4.099999999999994,-31.0,31.269953629642625,-1.4393014297770061,forward,False,Low Pass,False,False,attacking,attacking,False,1,1.1476303167059059,0,13.48014002214805,0,0.30500720543839904
3,30,03:30,Final,England,Italy,Kieran Trippier,12,81.7,22.200000000000003,Raheem Sterling,10,33.0,29.1,48.7,-6.899999999999999,49.18638022867713,-0.14074696885476667,forward,True,High Pass,False,False,defensive,attacking,False,0,4.850290497837063,0,38.88269016891266,1,0.333050358589829
3,33,03:33,Final,Italy,Italy,Giorgio Chiellini,3,33.1,29.2,Emerson Palmieri dos Santos,13,41.3,15.6,8.199999999999996,-13.6,15.88080602488425,-1.0282170026689064,forward,False,High Pass,False,False,defensive,middle,True,0,3.1400026664492935,0,18.053861159840356,0,0.21971529565807635
3,36,03:36,Final,Italy,Italy,Emerson Palmieri dos Santos,13,38.8,15.1,Marco Verratti,6,44.7,18.6,5.900000000000006,3.5000000000000018,6.8600291544570045,0.5354195419366257,forward,False,Low Pass,False,False,defensive,middle,True,0,4.0683489149467995,0,3.6046088092586097,0,0.2079098923154054
3,37,03:37,Final,Italy,Italy,Marco Verratti,6,44.7,18.6,Jorge Luiz Frello Filho,8,37.5,28.9,-7.200000000000003,10.299999999999997,12.567020331009255,2.180870400794049,backward,False,Ground Pass,False,False,middle,defensive,True,0,5.109728744828732,0,13.228501497063684,0,0.2123833641218681
3,39,03:39,Final,Italy,Italy,Jorge Luiz Frello Filho,8,35.2,31.1,Leonardo Bonucci,19,26.9,43.4,-8.300000000000004,12.299999999999997,14.838463532320318,2.1644063482056404,backward,False,Ground Pass,False,False,defensive,defensive,True,1,1.0238834261395757,0,15.797127896203149,0,0.2556969024973228
3,45,03:45,Final,Italy,Italy,Leonardo Bonucci,19,35.8,46.4,Ciro Immobile,17,65.4,44.3,29.60000000000001,-2.1000000000000014,29.674399741191067,-0.07082727274536789,forward,True,High Pass,False,False,defensive,middle,True,0,10.187223245842864,0,10.075720894275511,0,0.2569770404747039
3,47,03:47,Final,Italy,Italy,Ciro Immobile,17,65.4,44.3,Jorge Luiz Frello Filho,8,56.8,43.4,-8.600000000000009,-0.8999999999999986,8.646964785403036,-3.037321041662138,backward,False,Low Pass,False,False,middle,middle,True,0,4.4016179023231405,0,8.043560911207818,0,0.20777780469072088
3,51,03:51,Final,Italy,Italy,Jorge Luiz Frello Filho,8,72.0,47.0,Nicolò Barella,18,80.2,63.0,8.200000000000003,16.0,17.97887649437528,1.0971987974012851,forward,False,Ground Pass,False,False,middle,attacking,True,0,,0,,0,0.24953396239180864
3,53,03:53,Final,Italy,Italy,Nicolò Barella,18,83.5,64.1,Federico Chiesa,14,101.3,56.4,17.799999999999997,-7.699999999999996,19.3940712590214,-0.4082770137057858,forward,True,High Pass,False,False,attacking,attacking,False,1,2.0039489168969644,0,8.176419617684807,2,0.36109174336063765
3,55,03:55,Final,England,Italy,Harry Maguire,6,101.2,56.3,Declan Rice,4,98.3,59.5,2.8999999999999986,-3.1999999999999993,4.318564576337835,-0.8345388978134686,forward,False,Low Pass,False,False,defensive,defensive,True,0,4.821379034091068,0,5.866058302729721,0,0.1970756838753644
3,56,03:56,Final,England,Italy,Declan Rice,4,101.1,67.3,Mason Mount,19,89.6,74.2,11.5,-6.8999999999999995,13.41118935814419,-0.5404195002705842,forward,True,Ground Pass,False,False,defensive,defensive,True,1,1.0377051719633854,0,12.686972337622455,1,0.29776841655884334
4,38,04:38,Final,England,Italy,Harry Maguire,6,82.2,68.5,Harry Kane,9,22.599999999999994,73.6,59.60000000000001,-5.1,59.81780671338595,-0.0853625249169798,forward,True,High Pass,False,False,defensive,attacking,False,0,21.33497067723638,0,51.871851718691836,0,0.2816516239086849
4,59,04:59,Final,Italy,Italy,Giovanni Di Lorenzo,2,21.4,73.7,Gianluigi Donnarumma,21,3.5,45.6,-17.9,-28.1,33.31696264667594,-2.1379859494424096,backward,False,Ground Pass,False,False,defensive,defensive,True,0,,0,,0,0.29343006361723645
5,4,05:04,Final,Italy,Italy,Gianluigi Donnarumma,21,7.9,40.6,Marco Verratti,6,17.6,41.4,9.700000000000001,0.7999999999999972,9.732933781753578,0.08228798977468159,forward,False,Ground Pass,False,False,defensive,defensive,True,0,17.59552158362369,0,10.803957745327873,0,0.1878483400691412
5,9,05:09,Final,Italy,Italy,Marco Verratti,6,29.6,48.1,Giovanni Di Lorenzo,2,40.4,72.9,10.799999999999997,24.800000000000004,27.049584100314743,1.1600793636802247,forward,True,Ground Pass,False,False,defensive,middle,True,0,5.347826630184202,0,18.800262814629583,0,0.24752055008103724
